"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol"
"ENSG00000112195",82.0466461669315,4.70969365341215,0.638765190230729,5.80760146317955,6.3374147150855e-09,7.59349031161544e-06,"TREML2"
"ENSG00000156738",5847.26271639023,5.92790217687701,0.849712148809084,5.79949596317261,6.65145395855253e-09,7.66324243570928e-06,"MS4A1"
"ENSG00000167483",982.731893074511,5.53459471499252,0.783583468031428,5.78699640816139,7.16561103217888e-09,7.94984735070068e-06,"FAM129C"
"ENSG00000161929",282.295712437023,3.55435901673389,0.442623135356564,5.77095685402023,7.88226569571722e-09,8.43261674697176e-06,"SCIMP"
"ENSG00000136573",1192.14315076354,5.24350209333001,0.738156407130804,5.74878447485731,8.98873096505963e-09,9.14564702375562e-06,"BLK"
"ENSG00000083454",1218.00104051698,5.08387352098771,0.710857178996264,5.74499863215023,9.19217294481359e-09,9.14564702375562e-06,"P2RX5"
"ENSG00000269404",480.637062989369,5.71314484130504,0.821097807969967,5.74005288475624,9.46469897300698e-09,9.14564702375562e-06,"SPIB"
"ENSG00000270641",20.4924774752219,5.32829293525839,0.762996026822356,5.67275946807273,1.40515460651578e-08,1.31535644494313e-05,"TSIX"
"ENSG00000247982",1905.24148606579,3.58427571824621,0.456404715270476,5.6622458791091,1.49404535288081e-08,1.35618571350135e-05,"LINC00926"
"ENSG00000234965",9.21672749981579,6.36014486932752,0.947926896123166,5.65459730201712,1.56212083888826e-08,1.37627440379111e-05,"SHISA8"
"ENSG00000178199",449.706961007995,3.73430521711427,0.484767943179289,5.64044148460327,1.69614704422833e-08,1.45165956313884e-05,"ZC3H12D"
"ENSG00000185905",319.887232632318,4.0126972923272,0.541732532952803,5.56122645229739,2.67885320551257e-08,2.11171178345076e-05,"C16orf54"
"ENSG00000268027",218.814505576797,3.97253337220783,0.534225659787453,5.56419055833162,2.63372024206568e-08,2.11171178345076e-05,"AC006129.2"
"ENSG00000104783",741.346821998305,3.56634595588216,0.461368669258749,5.56246257468099,2.6599408872254e-08,2.11171178345076e-05,"KCNN4"
"ENSG00000169679",143.371811489817,3.38934036425325,0.430419494399061,5.55118993294943,2.83731608996536e-08,2.14970602480704e-05,"BUB1"
"ENSG00000100721",454.181532144123,6.94816200440111,1.07190462560921,5.54915228677224,2.87058057059862e-08,2.14970602480704e-05,"TCL1A"
"ENSG00000223823",11.8973467822429,3.63268421505689,0.475548668609125,5.53609838243667,3.09283879411533e-08,2.2058568113744e-05,"LINC01342"
"ENSG00000167895",4932.0981905959,3.66523738055942,0.481393442458315,5.53650537271331,3.08566378256126e-08,2.2058568113744e-05,"TMC8"
"ENSG00000089012",284.897490940494,4.08272121680533,0.557655606462302,5.52800183676396,3.23898661078799e-08,2.25636846339893e-05,"SIRPG"
"ENSG00000264198",1648.13012908301,4.0684869648519,0.557083966309697,5.50812292297432,3.62680128185603e-08,2.46910982722722e-05,NA
"ENSG00000162892",341.804774324585,3.75073152289859,0.499872203405227,5.50286954177501,3.73658921456725e-08,2.4873228871636e-05,"IL24"
"ENSG00000174130",463.939350177818,3.45629887290704,0.446814659519232,5.49735515739342,3.85529743393333e-08,2.51055292681463e-05,"TLR6"
"ENSG00000253633",7.09156556685165,6.5849084841336,1.01784693527925,5.48698265972708,4.08857250346439e-08,2.60581253917608e-05,"KB-1980E6.3"
"ENSG00000241106",676.111669402649,3.97209046134688,0.542944919925274,5.47401836222344,4.39943448639616e-08,2.7455220841666e-05,"HLA-DOB"
"ENSG00000111732",50.3956387597651,6.15197985068299,0.944437837649883,5.45507564955578,4.89520005246283e-08,2.86607310761944e-05,"AICDA"
"ENSG00000205056",348.227278417119,5.39581806578047,0.805283664377204,5.45872002653889,4.79579293290655e-08,2.86607310761944e-05,"RP11-693J15.5"
"ENSG00000179088",31.5582021040437,4.72364271397856,0.682545461173175,5.45552336921013,4.88288089893008e-08,2.86607310761944e-05,"C12orf42"
"ENSG00000104894",3221.79639379369,3.78659376183767,0.511096223039848,5.45219008910658,4.97532303776368e-08,2.86607310761944e-05,"CD37"
"ENSG00000109684",121.246087355922,3.7947321037156,0.514212138731463,5.43497886030087,5.48029293011385e-08,3.09739952304831e-05,"CLNK"
"ENSG00000172794",486.099867482431,3.30277008024054,0.424264775209633,5.42767209251043,5.70938078733244e-08,3.16712039786191e-05,"RAB37"
