"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrezid"
"ENSG00000265206",199.624109595676,3.97650304669875,0.494122776071363,6.02381268551133,1.70355513184309e-09,5.24643873953715e-05,"MIR142",406934
"ENSG00000245164",1098.25746054365,3.95132199081269,0.50680847039175,5.82334779947817,5.76803437289741e-09,8.88190772910607e-05,"LINC00861",100130231
"ENSG00000127074",138.096424857264,5.40172675340057,0.780334789331517,5.64081829181467,1.69243896057451e-08,0.000173740142229377,"RGS13",6003
"ENSG00000197520",92.9041748009982,4.96486889523867,0.731005495527396,5.42385648192446,5.83267189564455e-08,0.00021753452401613,"FAM177B",400823
"ENSG00000173200",1997.05649360684,3.71269736412438,0.501566229463051,5.4084529714619,6.35714750185138e-08,0.00021753452401613,"PARP15",165631
"ENSG00000170006",410.584544237159,2.85612631350358,0.338237344832608,5.48764452494791,4.07328720694316e-08,0.00021753452401613,"TMEM154",201799
"ENSG00000170054",58.1410224243587,6.98516273828499,1.09692394595545,5.45631514413861,4.86116847634074e-08,0.00021753452401613,"SERPINA9",327657
"ENSG00000263264",141.154687130243,4.1257271154619,0.572112540368911,5.46348295991968,4.66882105713313e-08,0.00021753452401613,"CTB-133G6.1",NA
"ENSG00000101057",353.02198834319,4.07429004097986,0.566438089240224,5.42740698300051,5.71786480792834e-08,0.00021753452401613,"MYBL2",4605
"ENSG00000068831",4028.27796563829,3.08906307136145,0.387640009736353,5.38918331155315,7.07785834028917e-08,0.000217976803305886,"RASGRP2",10235
"ENSG00000233355",347.030787415515,4.43983401593504,0.642563219494366,5.35330051826161,8.6364236663149e-08,0.00022164661637625,"CHRM3-AS2",100506915
"ENSG00000110680",3892.09249513117,-9.07939626309191,1.50482526277689,-5.36899297409642,7.91775036273409e-08,0.00022164661637625,"CALCA",796
"ENSG00000163568",282.12552329524,4.08161918369706,0.582682096173095,5.28868006059622,1.2320217066501e-07,0.000271018374997879,"AIM2",9447
"ENSG00000111913",1656.56001482013,3.01713217085538,0.381163275750092,5.2920422800068,1.20957918047803e-07,0.000271018374997879,"FAM65B",9750
"ENSG00000188822",229.470180547313,3.48752003403443,0.477011861826084,5.21479701681165,1.84018628370308e-07,0.000377814779861357,"CNR2",1269
"ENSG00000161929",282.295712437023,3.28581046498101,0.442226204930231,5.16887158539517,2.35511645361276e-07,0.000426650126011248,"SCIMP",388325
"ENSG00000028277",1286.03974399625,3.40601169167077,0.465291762795034,5.1709741801955,2.32876746393919e-07,0.000426650126011248,"POU2F2",5452
"ENSG00000188011",100.835463973171,3.6131115753542,0.507868843321165,5.14524883681775,2.67166432962504e-07,0.000457106924219235,"RTP5",285093
"ENSG00000268041",49.4127471533152,3.65020169867646,0.518920783694502,5.10714117058122,3.27069398261263e-07,0.000530145066223796,"CTD-2575K13.6",NA
"ENSG00000111732",50.3956387597651,5.75085000255121,0.935004731085034,5.08109728711003,3.75260856855659e-07,0.000577845430429187,"AICDA",57379
"ENSG00000109684",121.246087355922,3.5938909839754,0.51366415114931,5.04978005214427,4.42319047792911e-07,0.000648671414994203,"CLNK",116449
"ENSG00000162892",341.804774324585,3.50401833029385,0.499587916543731,5.01216752322044,5.38203159537502e-07,0.000663001708171058,"IL24",11009
"ENSG00000070190",380.497964282351,3.38760131458172,0.474758200269164,5.02908915154719,4.92815233315592e-07,0.000663001708171058,"DAPP1",27071
"ENSG00000261471",35.0783800903667,3.7358196954017,0.545801371060653,5.01248227003387,5.37323277879429e-07,0.000663001708171058,"RP11-61F12.1",NA
"ENSG00000007312",1152.06614436133,3.60683319062015,0.519797360584224,5.01509508953684,5.30072436487179e-07,0.000663001708171058,"CD79B",974
"ENSG00000112486",260.093955724554,2.71676029273997,0.344568630099708,4.98234645516973,6.28178326039901e-07,0.000744077227194262,"CCR6",1235
"ENSG00000162894",1746.09674707112,3.59418397974998,0.52774276159087,4.91562209575335,8.85009722924945e-07,0.000825928619300592,"FCMR",9214
"ENSG00000137265",1215.73979017199,4.02007191992504,0.614282898968225,4.91641868103064,8.81417861761972e-07,0.000825928619300592,"IRF4",3662
"ENSG00000124557",19.78477209459,3.49542625087902,0.506504367104615,4.92676156998189,8.36036692075757e-07,0.000825928619300592,"BTN1A1",696
"ENSG00000256574",16.2947139984419,4.19140546743712,0.648620557823621,4.9202965107143,8.64132004769371e-07,0.000825928619300592,"OR13A1",79290
"ENSG00000245904",95.8118247222947,3.06966517236117,0.418597754774782,4.94428158955298,7.64251694206376e-07,0.000825928619300592,"RP11-796E2.4",NA
"ENSG00000262488",32.9226757569906,4.29071573778221,0.667406973525509,4.93059837298273,8.19781216194666e-07,0.000825928619300592,"RP11-876N24.1",NA
"ENSG00000237914",24.5502824111617,4.60002248145995,0.730446171455523,4.92852536181601,8.28525808572682e-07,0.000825928619300592,"SIRPG-AS1",101929010
"ENSG00000124721",44.3575146836729,3.9271476077093,0.602606793795942,4.85747528545207,1.18891971659979e-06,0.00107691648565069,"DNAH8",1769
"ENSG00000186265",236.235170746394,3.79061250140229,0.578811841059876,4.8212774919952,1.42641768447131e-06,0.00116899465352587,"BTLA",151888
"ENSG00000172578",1420.76717767228,3.30612109988855,0.476963443848878,4.83500597295089,1.33141637389848e-06,0.00116899465352587,"KLHL6",89857
"ENSG00000257242",93.5640266350403,3.40450961408697,0.498237923807764,4.82602688231879,1.39283716304994e-06,0.00116899465352587,"LINC01619",256021
"ENSG00000166501",1321.56692587682,3.26665548628725,0.470352808563731,4.8190537932764,1.44240662512527e-06,0.00116899465352587,"PRKCB",5579
